"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"115352"	-3.03138658480615	8.26708549295385	-10.9221946456055	2.14086210181429e-16	8.73519667288776e-14	26.9914653978654
"55425"	-2.23166234588889	6.23299366452308	-10.903839581938	2.2998946213106e-16	9.24608370736448e-14	26.9212840437074
"10781"	-1.97064445079078	7.73962798312308	-10.8669033551766	2.65691817133466e-16	1.03052723167254e-13	26.7799405567757
"170384"	-1.47171524911348	5.44660494430769	-10.8658390890547	2.66799426319265e-16	1.03052723167254e-13	26.7758656445155
"23635"	-1.35013419193381	7.1567224608	-10.8650296597527	2.67644932597166e-16	1.03052723167254e-13	26.7727663775592
"360"	-2.22087248100473	7.858582144	-10.8512047002802	2.8251001149735e-16	1.08015628521802e-13	26.7198198023737
"3587"	-1.88363610060757	8.49856769104615	-10.8381751179292	2.97280448607359e-16	1.12873670330607e-13	26.6698995722315
"57659"	-1.41068782373168	8.87574657506154	-10.83384116066	3.02363893142987e-16	1.14012040397192e-13	26.6532906387642
"57456"	-1.07185178213121	9.63202689078462	-10.8314239183566	3.05237094602145e-16	1.1430711059844e-13	26.6440261720621
"5993"	-1.79312243835579	7.18983600281538	-10.8271596527833	3.10372924017483e-16	1.15439725310584e-13	26.6276810892224
"11215"	-1.45217681054846	8.11815320804615	-10.8232933055962	3.1510469623658e-16	1.16407765315777e-13	26.6128594721876
"27347"	-1.82140191688062	5.9464926228	-10.8187721544097	3.207300742424e-16	1.1769071684029e-13	26.5955255350072
"92912"	-1.36147957470449	8.07673507915385	-10.79501478713	3.51995330045185e-16	1.2830229780147e-13	26.5044028854672
"144348"	-1.75667233115366	6.56634226095385	-10.7637143308562	3.9792448130254e-16	1.42199483759584e-13	26.3842518668342
"90135"	-0.988496029858156	6.13792185807692	-10.7448991546811	4.28390885155681e-16	1.50142766960813e-13	26.3119747270858
"100"	-1.96730832187116	6.8157788484	-10.6914352486838	5.28409893394254e-16	1.79980669868209e-13	26.1063829273614
"6480"	-1.42602783068676	9.73284858564615	-10.6837523410166	5.4459980255123e-16	1.82674811070482e-13	26.0768129297365
"81539"	-1.64195633880969	10.5081445160154	-10.6674601092005	5.8060385088562e-16	1.91411820197825e-13	26.0140859051093
"115426"	-1.27045477537116	8.87035945266154	-10.6672209935368	5.81149742164406e-16	1.91411820197825e-13	26.0131650648502
"817"	-1.80394338012648	6.43381562098462	-10.6169930534014	7.08072912063441e-16	2.26396996883442e-13	25.8195977198582
"961"	-1.36479795468676	10.0698156143077	-10.6084303950099	7.32343002039824e-16	2.31966905586838e-13	25.7865717651745
"56916"	-1.6052454632104	5.68897338587692	-10.5460824949699	9.3624261287453e-16	2.90846959425653e-13	25.5458590165549
"25845"	-1.90861324846927	4.90274042676923	-10.5064527255312	1.09467012529003e-15	3.28852137913364e-13	25.3926400016386
"90271"	-1.90861324846927	4.90274042676923	-10.5064527255312	1.09467012529003e-15	3.28852137913364e-13	25.3926400016386
"7188"	-2.46161701520804	7.34492948826154	-10.493116972989	1.15384151192213e-15	3.42860242740992e-13	25.3410429771003
"123036"	-1.84543235230615	6.90954815710769	-10.491233538492	1.16245397186775e-15	3.43552275199294e-13	25.3337543108056
"81606"	-2.06626370524705	8.4674235112	-10.4759561072306	1.2347482772128e-15	3.62956247616182e-13	25.2746186305856
"57212"	-1.28422349894563	5.32799492893846	-10.472727582339	1.25059607901597e-15	3.65648880321916e-13	25.2621185475464
"54843"	-2.77482570771395	5.48446668803077	-10.4639676848956	1.29463472085262e-15	3.76511454056473e-13	25.2281967728551
"5775"	-2.06970233530969	4.57763043252308	-10.4509538473278	1.36295827029342e-15	3.92502137777706e-13	25.1777871755455
"64112"	-1.13164498459456	8.13047203675385	-10.4486115972491	1.37563523658639e-15	3.93784589321261e-13	25.1687124935252
"9057"	-1.97669477153428	7.51069871770769	-10.4414401215737	1.41519218672718e-15	4.02998087548481e-13	25.1409241580829
"64062"	-1.77196984311229	8.08418735155385	-10.4236646159597	1.51824711725301e-15	4.27887428535094e-13	25.0720237030065
"2067"	-1.36436162971631	5.48390991984615	-10.4184807539102	1.54970006537089e-15	4.32295158541598e-13	25.0519240894863
"257068"	-2.77717530316549	5.05874552016923	-10.413245564761	1.58213012414112e-15	4.39101342829522e-13	25.0316226242514
"22880"	-1.42313656095626	7.37695619289231	-10.3846748388709	1.77153769066319e-15	4.89185975944495e-13	24.9207784897876
"9882"	-2.88476582974114	6.8432676638	-10.3819192815894	1.79097119391205e-15	4.92067085563525e-13	24.9100834516707
